Start Date:,4/28/2023,Start Time:,12:00 AM
End Date:,4/28/2023,End Time:,5:50 PM

Product:,Whole Corn,,Parameters:,Moisture,Protein As is,Oil As is,Fiber As is,Ash As is,Starch As is
,,,Target:,,,,,,
Sample ID,Date,Time,,,,,,,
MV$Inbred-HIPS$Rep1$Plot222$Row58$Range27$B73,4/28/2023,11:28 AM,,6.48,10.73,4.03,1.02,0.98,63.02
MV$Inbred-HIPS$Rep1$Plot222$Row58$Range27$B73,4/28/2023,11:29 AM,,6.48,10.71,3.9,1.02,0.97,63.07
MV$Inbred-HIPS$Rep1$Plot222$Row58$Range27$B73,4/28/2023,11:29 AM,,6.28,10.73,3.91,1.05,0.96,63.16
MV$Inbred-HIPS$Rep2$Plot192$Row59$Range66$CS405,4/28/2023,11:30 AM,,5.39,10.54,4.25,0.55,1.17,65.16
MV$Inbred-HIPS$Rep2$Plot192$Row59$Range66$CS405,4/28/2023,11:31 AM,,5.42,10.59,4.25,0.56,1.16,65.12
MV$Inbred-HIPS$Rep2$Plot192$Row59$Range66$CS405,4/28/2023,11:33 AM,,5.4,10.63,4.26,0.57,1.15,65.27
MV$Inbred-HIPS$Rep1$Plot58$Row56$Range9$LH145,4/28/2023,11:34 AM,,6.1,12.91,3.89,1.86,1.23,60.31
MV$Inbred-HIPS$Rep1$Plot58$Row56$Range9$LH145,4/28/2023,11:34 AM,,6.01,12.93,3.65,1.86,1.22,60.4
MV$Inbred-HIPS$Rep1$Plot58$Row56$Range9$LH145,4/28/2023,11:34 AM,,6.06,12.88,3.65,1.87,1.22,60.58
MV$Inbred-HIPS$Rep2$Plot288$Row53$Range76$HP301,4/28/2023,11:35 AM,,6.73,11.91,4.29,2.4,0.89,55.86
MV$Inbred-HIPS$Rep2$Plot288$Row53$Range76$HP301,4/28/2023,11:36 AM,,6.43,11.83,4.3,2.4,0.88,55.97
MV$Inbred-HIPS$Rep2$Plot288$Row53$Range76$HP301,4/28/2023,11:36 AM,,6.49,11.93,4.32,2.42,0.88,56.02
MV$Inbred-HIPS$Rep1$Plot221$Row57$Range27$CS405,4/28/2023,11:37 AM,,5.86,10.36,4.82,0.46,1.17,64.04
MV$Inbred-HIPS$Rep1$Plot221$Row57$Range27$CS405,4/28/2023,11:37 AM,,5.77,10.16,4.84,0.46,1.16,64.24
MV$Inbred-HIPS$Rep1$Plot221$Row57$Range27$CS405,4/28/2023,11:37 AM,,5.87,10.21,4.85,0.45,1.16,64.29
MV$Inbred-HIPS$Rep1$Plot56$Row54$Range9$A635,4/28/2023,11:38 AM,,6.8,14.17,3.61,1.65,1.27,60.17
MV$Inbred-HIPS$Rep1$Plot56$Row54$Range9$A635,4/28/2023,11:39 AM,,6.75,13.99,3.62,1.65,1.24,60.19
MV$Inbred-HIPS$Rep1$Plot56$Row54$Range9$A635,4/28/2023,11:39 AM,,6.77,14.07,3.48,1.65,1.24,60.29
MV$Inbred-HIPS$Rep1$Plot205$Row59$Range25$Va26,4/28/2023,11:40 AM,,5.74,11.03,4.38,1.26,1.01,64.64
MV$Inbred-HIPS$Rep1$Plot205$Row59$Range25$Va26,4/28/2023,11:40 AM,,5.79,10.85,4.38,1.27,1,64.83
MV$Inbred-HIPS$Rep1$Plot205$Row59$Range25$Va26,4/28/2023,11:41 AM,,5.84,11.04,4.31,1.29,0.99,64.89
MV$Inbred-HIPS$Rep1$Plot220$Row56$Range27$H49,4/28/2023,11:41 AM,,6.05,12.06,4.03,1.1,0.99,63.28
MV$Inbred-HIPS$Rep1$Plot220$Row56$Range27$H49,4/28/2023,11:42 AM,,6.04,12.05,4.06,1.12,0.99,63.45
MV$Inbred-HIPS$Rep1$Plot220$Row56$Range27$H49,4/28/2023,11:42 AM,,6,11.97,4.04,1.12,0.98,63.48
MV$Inbred-HIPS$Rep2$Plot128$Row54$Range59$B73,4/28/2023,11:44 AM,,6.53,10.38,3.42,1.46,1.11,62.6
MV$Inbred-HIPS$Rep2$Plot128$Row54$Range59$B73,4/28/2023,11:45 AM,,6.54,10.6,3.43,1.45,1.1,62.53
MV$Inbred-HIPS$Rep2$Plot128$Row54$Range59$B73,4/28/2023,11:45 AM,,6.39,10.62,3.31,1.46,1.09,62.64
MV$Inbred-HIPS$Rep1$Plot4$Row56$Range3$AK-29,4/28/2023,11:46 AM,,6.26,12.11,5.39,0.28,1.1,61.02
MV$Inbred-HIPS$Rep1$Plot4$Row56$Range3$AK-29,4/28/2023,11:46 AM,,6.22,12.14,5.38,0.29,1.09,61.06
MV$Inbred-HIPS$Rep1$Plot4$Row56$Range3$AK-29,4/28/2023,11:46 AM,,6.29,12.08,5.39,0.31,1.08,61.12
MV$Inbred-HIPS$Rep1$Plot109$Row53$Range15$B73,4/28/2023,11:51 AM,,5.97,11.25,4.33,1.32,1,63.72
MV$Inbred-HIPS$Rep1$Plot109$Row53$Range15$B73,4/28/2023,11:52 AM,,5.94,11.17,3.94,1.34,0.98,63.63
MV$Inbred-HIPS$Rep1$Plot109$Row53$Range15$B73,4/28/2023,11:52 AM,,5.98,11.23,3.95,1.34,0.98,63.69
MV$Inbred-HIPS$Rep2$Plot287$Row54$Range76$MoG,4/28/2023,11:53 AM,,5.99,12.6,5.43,0.76,1.11,58.98
MV$Inbred-HIPS$Rep2$Plot287$Row54$Range76$MoG,4/28/2023,11:53 AM,,6.07,12.26,5.38,0.77,1.1,58.96
MV$Inbred-HIPS$Rep2$Plot287$Row54$Range76$MoG,4/28/2023,11:53 AM,,6.07,12.26,5.4,0.74,1.09,58.95
MV$Inbred-HIPS$Rep1$Plot372$Row59$Range44$CI.7,4/28/2023,11:54 AM,,5.68,12.54,3,2.67,0.87,58.81
MV$Inbred-HIPS$Rep1$Plot372$Row59$Range44$CI.7,4/28/2023,11:55 AM,,5.66,12.44,3.03,2.67,0.86,58.88
MV$Inbred-HIPS$Rep1$Plot372$Row59$Range44$CI.7,4/28/2023,11:55 AM,,5.84,12.62,3.2,2.66,0.85,58.52
MV$Inbred-HIPS$Rep1$Plot228$Row59$Range28$B52,4/28/2023,11:56 AM,,6.49,10.83,4.58,0.74,0.95,61.42
MV$Inbred-HIPS$Rep1$Plot228$Row59$Range28$B52,4/28/2023,11:56 AM,,6.4,10.75,4.61,0.75,0.95,60.92
MV$Inbred-HIPS$Rep1$Plot228$Row59$Range28$B52,4/28/2023,11:56 AM,,6.3,10.8,4.6,0.74,0.94,61.16
MV$Inbred-HIPS$Rep1$Plot229$Row58$Range28$PB80,4/28/2023,11:57 AM,,6.13,9.08,4.09,1.1,1.09,64.84
